live/beta,desease,status,model_output,symptoms
beta,CHF,pass,"CHF, Pulmonary","Heaviness, Cough, Gradual, Subacute, CHF (congestive heart failure), Age<20, HTN (Hypertension), JVD> 4cm (jugular venous distension greater than 4 centimeters), Rales, Edema, Sbp>140 (systolic blood pressure is greater than 140)"
beta,Eso rupture,pass,"Eso rupture, Aortic Dissection","Gripping, Jaw, Central, Boring, Crepitus, Age<40, Trauma, RR>20 (respiratory rate is greater than 20), Abd tender (Abdominal tender), HR>100 (heart rate greater than 100), Sbp< 100 (systolic blood pressure is less than 100)"
beta,Eso rupture,pass,"Eso rupture, GI","Retrosternal, Boring, Burning, Tender, G.I. (gastrointestinal), Age<20, CP1Day (cytopathologists), Diaphoresis, HR>100 (heart rate greater than 100), RR>20 (respiratory rate is greater than 20), Sbp< 100 (systolic blood pressure is less than 100)"
beta,Aortic Dissection,pass,"Aortic Dissection, Infarct","Retrosternal, Sudden, Severe, Persistent, Aortic dissection, Age<20, DM (Diabetes mellitus), Un= pulses (unequal pulse), Sbp>140 (systolic blood pressure is greater than 140), Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100)"
beta,Pulmonary,pass,"Pulmonary, PE","Short of breath, Gradual, Fever, Subacute, COPD (Chronic obstructive pulmonary disease), Age>65, HLD (Hyperlipidemia), HR>100 (heart rate greater than 100), O2sat < 90 (oxygen saturation level is less than 90), RR>20 (respiratory rate is greater than 20), Pleural Rub"
beta,Pulmonary,pass,"Pulmonary, PE","Short of breath, Subacute, Persistent, Fever, COPD (Chronic obstructive pulmonary disease), Age<60, FH (Familial history), RR>20 (respiratory rate is greater than 20), T>100.4 (temperature is greater than 100.4), O2sat < 90 (oxygen saturation level is less than 90), Pleural Rub"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Squeezing, Radiating to Back, Ripping, Splitting, Aortic dissection, Age<50, TOB (Tobacco), Sbp< 100 (systolic blood pressure is less than 100), Murmur Diastolic, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140)"
beta,Pulmonary,pass,"Pulmonary, CHF","Gradual, Subacute, Short of breath, Fever, COPD (Chronic obstructive pulmonary disease), Age<50, HLD (Hyperlipidemia), RR>20 (respiratory rate is greater than 20), T>100.4 (temperature is greater than 100.4), O2sat < 90 (oxygen saturation level is less than 90), Diaphoresis"
beta,GI,fail,"Aortic Dissection, Eso rupture","Pressure, Nausea, Onset at rest, Boring, G.I. (gastrointestinal), Age<20, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Pericarditis,pass,"Pericarditis, AS/AI","Gradual, Throat, Subacute, Tightness, Pericarditis, Age<30, CP1Day (cytopathologists), RR>20 (respiratory rate is greater than 20), Pericardial rub, HR>100 (heart rate greater than 100), JVD> 4cm (jugular venous distension greater than 4 centimeters)"
beta,AS/AI,pass,"AS/AI, CHF","Retrosternal, Tightness, Pressure, Short of breath, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<20, HTN (Hypertension), CTA (Computed Tomography Angiography), Murmur Diastolic, S3, Low carotid puls"
beta,CHF,pass,"CHF, Ischemia","Cough, Nitrate relief, Gradual, Heaviness, Infarct, Age<40, HTN (Hypertension), S3, Sbp< 100 (systolic blood pressure is less than 100), O2sat < 90 (oxygen saturation level is less than 90), Edema"
beta,Pericarditis,pass,"Pericarditis, Infarct","Onset at rest, Positional, Squeezing, Heaviness, Auto immune, Age<60, CP1Day (cytopathologists), Diaphoresis, Pericardial rub, RR>20 (respiratory rate is greater than 20), T>100.4 (temperature is greater than 100.4)"
beta,Pericarditis,pass,"Pericarditis, GI","Burning, Pressure, Positional, Dull, Pericarditis, Age<60, CP1Day (cytopathologists), Pericardial rub, RR>20 (respiratory rate is greater than 20), Diaphoresis, HR>100 (heart rate greater than 100)"
beta,CHF,pass,"CHF, Pulmonary","Cough, Subacute, Heaviness, Exertional, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age>65, HTN (Hypertension), RR>20 (respiratory rate is greater than 20), Rales, Diaphoresis, Sbp>140 (systolic blood pressure is greater than 140)"
beta,Pulmonary,pass,"Pulmonary, PE","Fever, Days, Cough, Persistent, COPD (Chronic obstructive pulmonary disease), Age<40, TOB (Tobacco), T>100.4 (temperature is greater than 100.4), Pleural Rub, Diaphoresis, HR>100 (heart rate greater than 100)"
beta,Pericarditis,pass,"Pericarditis, Infarct","Throat, Days, Radiating to Back, Heaviness, Auto immune, Age<30, CP1Day (cytopathologists), Pericardial rub, T>100.4 (temperature is greater than 100.4), HR>100 (heart rate greater than 100), RR>20 (respiratory rate is greater than 20)"
beta,Pericarditis,pass,"Pericarditis, Pulmonary","Improvement with Bending, Radiating to Back, Gradual, Subacute, Auto immune, Age<20, CP1Day (cytopathologists), JVD> 4cm (jugular venous distension greater than 4 centimeters), Pericardial rub, RR>20 (respiratory rate is greater than 20), T>100.4 (temperature is greater than 100.4)"
beta,CHF,pass,"Pulmonary, CHF","Gradual, Subacute, Exertional, Cough, CAD (Coronary artery disease), Age>65, CP1Day (cytopathologists), Sbp>140 (systolic blood pressure is greater than 140), JVD> 4cm (jugular venous distension greater than 4 centimeters), Sbp< 100 (systolic blood pressure is less than 100), O2sat < 90 (oxygen saturation level is less than 90)"
beta,Ischemia,pass,"Infarct, Ischemia","Dull, Left arm, Sudden, Severe, CAD (Coronary artery disease), Age<20, HLD (Hyperlipidemia), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Eso rupture,pass,"Eso rupture, GI","Eating, Jaw, Ripping, Distress, Esophagus, Age<30, Trauma, HR>100 (heart rate greater than 100), Abd tender (Abdominal tender), Sbp< 100 (systolic blood pressure is less than 100), RR>20 (respiratory rate is greater than 20)"
beta,PE,pass,"PE, Infarct","Sudden, Severe, Onset at rest, Short of breath, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age<60, CP1Day (cytopathologists), HR>100 (heart rate greater than 100), R S3, Pleural Rub, Diaphoresis"
beta,PE,pass,"PE, Infarct","Radiates, Intermittent, Short of breath, Severe, Coagulopathy, Age<30, Recent surgery , RR>20 (respiratory rate is greater than 20), Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100), O2sat < 90 (oxygen saturation level is less than 90)"
beta,Pulmonary,pass,"Pulmonary, Pericarditis","Subacute, Days, Fever, Cough, COPD (Chronic obstructive pulmonary disease), Age>65, CP1Day (cytopathologists), O2sat < 90 (oxygen saturation level is less than 90), HR>100 (heart rate greater than 100), RR>20 (respiratory rate is greater than 20), Diaphoresis"
beta,MS,pass,"MS, CHF","Weeks, Ache, Minutes, Tender, Musculoskeletal, Age<50, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,GI,pass,"GI, Eso rupture","Nausea, Central, Gradual, Burning, G.I. (gastrointestinal), Age>65, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,GI,pass,"GI, Infarct","Persistent, Dull, Nausea, Central, G.I. (gastrointestinal), Age<40, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Infarct,pass,"Infarct, Ischemia","Dull, Throat, Nausea, Left side, CAD (Coronary artery disease), Age<60, GreaterCRF's (Chronic renal failure), CTA (Computed Tomography Angiography), Sbp< 100 (systolic blood pressure is less than 100), Sbp>140 (systolic blood pressure is greater than 140), Diaphoresis"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Pressure, Sudden, Retrosternal, Boring, CTD (connective tissue disease), Age<60, HLD (Hyperlipidemia), Murmur Diastolic, Sbp>140 (systolic blood pressure is greater than 140), Sbp< 100 (systolic blood pressure is less than 100), BP differential"
beta,Pulmonary,pass,"Pulmonary, PE","Gradual, Short of breath, Fever, Days, COPD (Chronic obstructive pulmonary disease), Age<20, TOB (Tobacco), RR>20 (respiratory rate is greater than 20), Pleural Rub, T>100.4 (temperature is greater than 100.4), Diaphoresis"
beta,Pericarditis,pass,"Pericarditis, Eso rupture","Radiating to Back, Pressure, Severe, Throat, Auto immune, Age<60, CP1Day (cytopathologists), Diaphoresis, JVD> 4cm (jugular venous distension greater than 4 centimeters), RR>20 (respiratory rate is greater than 20), T>100.4 (temperature is greater than 100.4)"
beta,Eso rupture,pass,"Aortic Dissection, Eso rupture","Ripping, Pressure, Central, Gripping, CTD (connective tissue disease), Age<20, Trauma, Sbp< 100 (systolic blood pressure is less than 100), Abd tender (Abdominal tender), HR>100 (heart rate greater than 100), RR>20 (respiratory rate is greater than 20)"
beta,Eso rupture,pass,"Eso rupture, GI","Tearing, Stomach, Tender, Nausea, Esophagus, Age<20, CP1Day (cytopathologists), Abd tender (Abdominal tender), Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100), RR>20 (respiratory rate is greater than 20)"
beta,Pulmonary,pass,"Pulmonary, PE","Cough, Days, Persistent, Subacute, COPD (Chronic obstructive pulmonary disease), Age<40, HLD (Hyperlipidemia), HR>100 (heart rate greater than 100), Diaphoresis, Pleural Rub, O2sat < 90 (oxygen saturation level is less than 90)"
beta,PE,pass,"PE, Pericarditis","Persistent, Burning, Sharp, Severe, Coagulopathy, Age<50, Calf pain/swell, R S3, O2sat < 90 (oxygen saturation level is less than 90), Sbp< 100 (systolic blood pressure is less than 100), RR>20 (respiratory rate is greater than 20)"
beta,Pericarditis,pass,"Pericarditis, MS","Burning, Positional, Left side, Diffuse, Pericarditis, Age<50, CP1Day (cytopathologists), Pericardial rub, RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100), Diaphoresis"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Ripping, Tearing, Retrosternal, Sudden, Aortic dissection, Age<40, FH (Familial history), Murmur Diastolic, Sbp>140 (systolic blood pressure is greater than 140), HR>100 (heart rate greater than 100), Un= pulses (unequal pulse)"
beta,Pericarditis,pass,"Pericarditis, PE","Diffuse, Burning, Throat, Pleuritic, Auto immune, Age<30, CP1Day (cytopathologists), Diaphoresis, T>100.4 (temperature is greater than 100.4), RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100)"
beta,AS/AI,pass,"AS/AI, Infarct","Short of breath, Dull, Pressure, Left side, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<50, HTN (Hypertension), CTA (Computed Tomography Angiography), Sbp< 100 (systolic blood pressure is less than 100), Murmur systolic, JVD> 4cm (jugular venous distension greater than 4 centimeters)"
beta,AS/AI,pass,"AS/AI, CHF","Nitrate relief, Short of breath, Central, Tightness, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<40, HLD (Hyperlipidemia), Low carotid puls, Murmur Diastolic, Murmur systolic, S3"
beta,Infarct,pass,"Infarct, Ischemia","Central, Radiates, Throat, Left arm, Infarct, Age<50, GreaterCRF's (Chronic renal failure), Sbp< 100 (systolic blood pressure is less than 100), Sbp>140 (systolic blood pressure is greater than 140), Diaphoresis, HR>100 (heart rate greater than 100)"
beta,Ischemia,pass,"Infarct, Ischemia","Heaviness, Retrosternal, Nausea, Sweating, CAD (Coronary artery disease), Age<30, GreaterCRF's (Chronic renal failure), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Ischemia,pass,"Infarct, Ischemia","Exertional, Sudden, Left side, Left arm, CAD (Coronary artery disease), Age>65, CP1Day (cytopathologists), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Infarct,pass,"Infarct, AS/AI","Tightness, Diffuse, Short of breath, Exertional, CAD (Coronary artery disease), Age<60, HTN (Hypertension), CTA (Computed Tomography Angiography), Sbp>140 (systolic blood pressure is greater than 140), HR>100 (heart rate greater than 100), Diaphoresis"
beta,AS/AI,pass,"AS/AI, Ischemia","Dull, Nitrate relief, Retrosternal, Diffuse, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<40, HLD (Hyperlipidemia), Rales, Murmur Diastolic, CTA (Computed Tomography Angiography), Murmur systolic"
beta,Ischemia,pass,"Ischemia, Infarct","Tightness, Central, Gradual, Squeezing, Infarct, Age<60, HLD (Hyperlipidemia), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Diffuse, Severe, Ripping, Pressure, Aortic dissection, Age<40, FH (Familial history), Sbp>140 (systolic blood pressure is greater than 140), Diaphoresis, Murmur Diastolic, Sbp< 100 (systolic blood pressure is less than 100)"
beta,AS/AI,pass,"AS/AI, GI","Left side, Months, Intermittent, Central, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<60, HTN (Hypertension), HR>100 (heart rate greater than 100), Murmur systolic, Murmur Diastolic, Sbp< 100 (systolic blood pressure is less than 100)"
beta,PE,pass,"PE, Pericarditis","Onset at rest, Radiates, Sharp, Burning, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age<50, Bed ridden, O2sat < 90 (oxygen saturation level is less than 90), R S3, RR>20 (respiratory rate is greater than 20), Diaphoresis"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Pressure, Severe, Radiating to Back, Tearing, Aortic dissection, Age<50, CP1Day (cytopathologists), Diaphoresis, Sbp>140 (systolic blood pressure is greater than 140), HR>100 (heart rate greater than 100), Sbp< 100 (systolic blood pressure is less than 100)"
beta,Ischemia,pass,"Ischemia, Infarct","Sweating, Left arm, Gripping, Intermittent, Infarct, Age<20, CP1Day (cytopathologists), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,AS/AI,pass,"AS/AI, Infarct","Exertional, Central, Syncope, Retrosternal, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<20, HTN (Hypertension), Low carotid puls, Sbp< 100 (systolic blood pressure is less than 100), S3, Murmur Diastolic"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Diffuse, Splitting, Gripping, Severe, CTD (connective tissue disease), Age<60, FH (Familial history), Un= pulses (unequal pulse), Diaphoresis, HR>100 (heart rate greater than 100), Murmur Diastolic"
beta,Pericarditis,pass,"Pericarditis, Infarct","Central, Pressure, Onset at rest, Squeezing, Auto immune, Age<30, CP1Day (cytopathologists), T>100.4 (temperature is greater than 100.4), Diaphoresis, Pericardial rub, JVD> 4cm (jugular venous distension greater than 4 centimeters)"
beta,Pericarditis,pass,"Pericarditis, Ischemia","Sharp, Persistent, Tightness, Squeezing, Pericarditis, Age<50, CP1Day (cytopathologists), Pericardial rub, JVD> 4cm (jugular venous distension greater than 4 centimeters), HR>100 (heart rate greater than 100), T>100.4 (temperature is greater than 100.4)"
beta,MS,pass,"MS, CHF","Hours, Positional, Weeks, Stabbing, Musculoskeletal, Age<30, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,GI,pass,"GI, MS","Dull, Intermittent, Ache, Minutes, G.I. (gastrointestinal), Age>65, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,CHF,pass,"CHF, AS/AI","Short of breath, Cough, Exertional, Nitrate relief, CAD (Coronary artery disease), Age<30, CP1Day (cytopathologists), JVD> 4cm (jugular venous distension greater than 4 centimeters), O2sat < 90 (oxygen saturation level is less than 90), Sbp>140 (systolic blood pressure is greater than 140), Rales"
beta,GI,pass,"GI, MS","Intermittent, Central, Acid reflux, Ache, G.I. (gastrointestinal), Age<50, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Infarct,pass,"Infarct, Pericarditis","Radiates, Short of breath, Dull, Onset at rest, CAD (Coronary artery disease), Age<60, DM (Diabetes mellitus), CTA (Computed Tomography Angiography), HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), Sbp< 100 (systolic blood pressure is less than 100)"
beta,AS/AI,pass,"AS/AI, GI","Intermittent, Left side, Central, Months, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<20, HTN (Hypertension), Murmur Diastolic, CTA (Computed Tomography Angiography), HR>100 (heart rate greater than 100), Murmur systolic"
beta,AS/AI,pass,"AS/AI, CHF","Syncope, Exertional, Short of breath, Intermittent, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age>65, HLD (Hyperlipidemia), Rales, CTA (Computed Tomography Angiography), Murmur Diastolic, HR>100 (heart rate greater than 100)"
beta,AS/AI,pass,"AS/AI, Infarct","Syncope, Retrosternal, Squeezing, Short of breath, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<40, HLD (Hyperlipidemia), Diaphoresis, JVD> 4cm (jugular venous distension greater than 4 centimeters), Sbp< 100 (systolic blood pressure is less than 100), Low carotid puls"
beta,AS/AI,pass,"AS/AI, CHF","Retrosternal, Weeks, Subacute, Central, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<30, HTN (Hypertension), S3, HR>100 (heart rate greater than 100), Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100)"
beta,Infarct,pass,"Infarct, Ischemia","Squeezing, Sweating, Tightness, Gripping, CAD (Coronary artery disease), Age<60, DM (Diabetes mellitus), CTA (Computed Tomography Angiography), Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100), Diaphoresis"
beta,GI,pass,"GI, Eso rupture","Radiates, Ache, Stomach, Nausea, G.I. (gastrointestinal), Age>65, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Eso rupture,pass,"Eso rupture, GI","Acid reflux, Nausea, Sweating, Vomiting, Esophagus, Age<30, CP1Day (cytopathologists), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis, Abd tender (Abdominal tender), RR>20 (respiratory rate is greater than 20)"
beta,CHF,pass,"CHF, AS/AI","Gradual, Nitrate relief, Tightness, Short of breath, CHF (congestive heart failure), Age<50, HTN (Hypertension), Sbp< 100 (systolic blood pressure is less than 100), S3, Diaphoresis, Rales"
beta,Eso rupture,pass,"Eso rupture, GI","Throat, Localised, Minutes, Acid reflux, Esophagus, Age<60, Trauma, RR>20 (respiratory rate is greater than 20), Sbp< 100 (systolic blood pressure is less than 100), Abd tender (Abdominal tender), Diaphoresis"
beta,MS,pass,"MS, CHF","Intermittent, Days, Weeks, Seconds, Musculoskeletal, Age<50, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,AS/AI,pass,"AS/AI, Ischemia","Squeezing, Retrosternal, Exertional, Weeks, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<40, HTN (Hypertension), Murmur systolic, HR>100 (heart rate greater than 100), Murmur Diastolic, JVD> 4cm (jugular venous distension greater than 4 centimeters)"
beta,MS,pass,"MS, GI","Ache, Tender, Hours, Intermittent, Musculoskeletal, Age<40, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,AS/AI,pass,"AS/AI, Ischemia","Months, Exertional, Dull, Tightness, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age>65, HTN (Hypertension), Murmur Diastolic, Low carotid puls, Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis"
beta,AS/AI,pass,"AS/AI, Ischemia","Squeezing, Exertional, Left side, Subacute, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<20, HTN (Hypertension), JVD> 4cm (jugular venous distension greater than 4 centimeters), Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100), Low carotid puls"
beta,Pericarditis,pass,"Pericarditis, Ischemia","Left side, Positional, Central, Subacute, Pericarditis, Age>65, CP1Day (cytopathologists), RR>20 (respiratory rate is greater than 20), Diaphoresis, T>100.4 (temperature is greater than 100.4), HR>100 (heart rate greater than 100)"
beta,Pericarditis,pass,"Pericarditis, Pulmonary","Throat, Gradual, Sharp, Heaviness, Pericarditis, Age<60, CP1Day (cytopathologists), Pericardial rub, Diaphoresis, JVD> 4cm (jugular venous distension greater than 4 centimeters), RR>20 (respiratory rate is greater than 20)"
beta,MS,pass,"MS, CHF","Days, Tender, Fleeting, Sharp, Musculoskeletal, Age>65, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,CHF,pass,"CHF, AS/AI","Tightness, Exertional, Subacute, Short of breath, CHF (congestive heart failure), Age<60, CP1Day (cytopathologists), S3, Sbp>140 (systolic blood pressure is greater than 140), Rales, Edema"
beta,Eso rupture,pass,"Eso rupture, GI","Boring, Distress, Dysphagia, Eating, CTD (connective tissue disease), Age>65, CP1Day (cytopathologists), HR>100 (heart rate greater than 100), Diaphoresis, RR>20 (respiratory rate is greater than 20), Sbp< 100 (systolic blood pressure is less than 100)"
beta,Infarct,pass,"Infarct, Eso rupture","Pressure, Sweating, Throat, Heaviness, CAD (Coronary artery disease), Age<40, DM (Diabetes mellitus), CTA (Computed Tomography Angiography), Sbp>140 (systolic blood pressure is greater than 140), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis"
beta,GI,pass,"Aortic Dissection, GI","Onset at rest, Dull, Central, Boring, G.I. (gastrointestinal), Age<20, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,PE,pass,"PE, Pericarditis","Pleuritic, Severe, Pressure, Stabbing, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age>65, Recent surgery , Sbp< 100 (systolic blood pressure is less than 100), O2sat < 90 (oxygen saturation level is less than 90), HR>100 (heart rate greater than 100), R S3"
beta,Pulmonary,pass,"Pulmonary, Pericarditis","Gradual, Days, Persistent, Cough, COPD (Chronic obstructive pulmonary disease), Age<40, HLD (Hyperlipidemia), HR>100 (heart rate greater than 100), Diaphoresis, RR>20 (respiratory rate is greater than 20), O2sat < 90 (oxygen saturation level is less than 90)"
beta,Pulmonary,pass,"Pulmonary, Pericarditis","Days, Short of breath, Gradual, Persistent, COPD (Chronic obstructive pulmonary disease), Age<60, TOB (Tobacco), RR>20 (respiratory rate is greater than 20), Diaphoresis, O2sat < 90 (oxygen saturation level is less than 90), HR>100 (heart rate greater than 100)"
beta,Pericarditis,pass,"Pericarditis, Eso rupture","Stabbing, Diffuse, Heaviness, Severe, Auto immune, Age>65, CP1Day (cytopathologists), Pericardial rub, Diaphoresis, RR>20 (respiratory rate is greater than 20), T>100.4 (temperature is greater than 100.4)"
beta,Eso rupture,pass,"Eso rupture, GI","Throat, Stabbing, Hours, Stomach, Crepitus, Age<60, CP1Day (cytopathologists), HR>100 (heart rate greater than 100), Sbp< 100 (systolic blood pressure is less than 100), Abd tender (Abdominal tender), Diaphoresis"
beta,Infarct,pass,"Infarct, AS/AI","Minutes, Left arm, Short of breath, Throat, CAD (Coronary artery disease), Age>65, DM (Diabetes mellitus), Diaphoresis, CTA (Computed Tomography Angiography), Sbp< 100 (systolic blood pressure is less than 100), Sbp>140 (systolic blood pressure is greater than 140)"
beta,Infarct,pass,"Infarct, Ischemia","Onset at rest, Tightness, Short of breath, Radiates, Infarct, Age<60, GreaterCRF's (Chronic renal failure), Diaphoresis, CTA (Computed Tomography Angiography), HR>100 (heart rate greater than 100), Sbp< 100 (systolic blood pressure is less than 100)"
beta,Eso rupture,pass,"Eso rupture, GI","Acid reflux, Ripping, Central, Hours, Crepitus, Age<60, Trauma, Sbp< 100 (systolic blood pressure is less than 100), Abd tender (Abdominal tender), RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100)"
beta,Aortic Dissection,pass,"Aortic Dissection, Infarct","Boring, Sudden, Diffuse, Heaviness, Aortic dissection, Age<20, GreaterCRF's (Chronic renal failure), Un= pulses (unequal pulse), Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100), Murmur Diastolic"
beta,Pulmonary,pass,"Pulmonary, PE","Short of breath, Fever, Persistent, Gradual, COPD (Chronic obstructive pulmonary disease), Age<30, FH (Familial history), RR>20 (respiratory rate is greater than 20), Pleural Rub, O2sat < 90 (oxygen saturation level is less than 90), Diaphoresis"
beta,GI,pass,"GI, Aortic Dissection","Pressure, Burning, Radiates, Intermittent, G.I. (gastrointestinal), Age<60, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Pulmonary,pass,"Pulmonary, PE","Subacute, Persistent, Cough, Gradual, COPD (Chronic obstructive pulmonary disease), Age<50, FH (Familial history), RR>20 (respiratory rate is greater than 20), Diaphoresis, HR>100 (heart rate greater than 100), Pleural Rub"
beta,Pulmonary,pass,"Pulmonary, CHF","Short of breath, Gradual, Days, Subacute, COPD (Chronic obstructive pulmonary disease), Age>65, TOB (Tobacco), HR>100 (heart rate greater than 100), O2sat < 90 (oxygen saturation level is less than 90), Diaphoresis, T>100.4 (temperature is greater than 100.4)"
beta,Eso rupture,pass,"Eso rupture, GI","Radiating to Back, Acid reflux, Stomach, Ripping, Hx ESO, Age<60, Trauma, HR>100 (heart rate greater than 100), RR>20 (respiratory rate is greater than 20), Abd tender (Abdominal tender), Sbp< 100 (systolic blood pressure is less than 100)"
beta,Pulmonary,pass,"Pulmonary, PE","Cough, Days, Subacute, Persistent, COPD (Chronic obstructive pulmonary disease), Age<40, CP1Day (cytopathologists), O2sat < 90 (oxygen saturation level is less than 90), T>100.4 (temperature is greater than 100.4), Diaphoresis, Pleural Rub"
beta,PE,pass,"PE, Pulmonary","Hours, Severe, Stabbing, Short of breath, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age>65, CP1Day (cytopathologists), R S3, Diaphoresis, HR>100 (heart rate greater than 100), Pleural Rub"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Severe, Radiates, Ripping, Squeezing, CTD (connective tissue disease), Age>65, FH (Familial history), HR>100 (heart rate greater than 100), BP differential, Sbp>140 (systolic blood pressure is greater than 140), Diaphoresis"
beta,Infarct,pass,"Eso rupture, Infarct","Dull, Pressure, Radiates, Vomiting, CAD (Coronary artery disease), Age<60, GreaterCRF's (Chronic renal failure), HR>100 (heart rate greater than 100), CTA (Computed Tomography Angiography), Diaphoresis, Sbp>140 (systolic blood pressure is greater than 140)"
beta,AS/AI,pass,"AS/AI, CHF","Nitrate relief, Subacute, Months, Retrosternal, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<50, HLD (Hyperlipidemia), Low carotid puls, Rales, Sbp< 100 (systolic blood pressure is less than 100), CTA (Computed Tomography Angiography)"
beta,Infarct,pass,"Infarct, Ischemia","Central, Persistent, Gripping, Sweating, Infarct, Age<50, GreaterCRF's (Chronic renal failure), Sbp>140 (systolic blood pressure is greater than 140), HR>100 (heart rate greater than 100), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis"
beta,CHF,pass,"CHF, Pulmonary","Heaviness, Nitrate relief, Short of breath, Cough, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<40, HTN (Hypertension), S3, O2sat < 90 (oxygen saturation level is less than 90), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,CHF,pass,"CHF, AS/AI","Exertional, Short of breath, Gradual, Heaviness, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<30, HTN (Hypertension), Sbp< 100 (systolic blood pressure is less than 100), RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100), Rales"
